Timestamp,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor)
2026-06-14 03:00:00,0.00902357,0.14800000,0.25853890,0.00082651,0.00000000,0.26211256,0.20659903,50.25601959,0.12605494,0.26257098,0.20228885,47.24908829,0.12836386,0.00464342,0.04726211,0.03474715,0.01175200,0.05911495,0.04041671,0.26948214,0.11724269,0.13080239,0.00648387,0.01512098,0.00905466
2026-06-14 03:15:00,0.02512589,0.16329700,0.30299991,0.00000033,0.00000000,0.25353408,0.19328061,32.59347153,0.12610185,0.26120037,0.19832349,31.80496025,0.12850828,0.00521478,0.05167933,0.03645767,0.01487795,0.05484826,0.03820740,0.25916526,0.11564343,0.13188817,0.00655201,0.01549472,0.00926002
2026-06-14 03:30:00,0.05028940,0.07577778,0.24392810,0.00037497,0.00000000,0.25581083,0.21137491,40.62627029,0.12596813,0.26233938,0.21424998,41.24673843,0.12441342,0.00460286,0.04982085,0.03672852,0.02209792,0.05250220,0.03617306,0.26066595,0.12257119,0.13230729,0.00693153,0.01561416,0.00957317
2026-06-14 03:45:00,0.05222971,0.02243946,0.08836616,0.00000014,0.00000000,0.27043837,0.19106749,34.15946960,0.12851399,0.26869577,0.25133705,29.07000923,0.13279369,0.00526678,0.04314465,0.03263588,0.03045472,0.05242326,0.03708081,0.27041754,0.12058767,0.13447829,0.00699006,0.01637598,0.00984705
2026-06-14 04:00:00,0.01726362,0.03600000,0.30961889,0.00000040,0.00000000,0.25881582,0.22082421,45.06996155,0.12972462,0.26368269,0.26819307,27.38005066,0.13469005,0.00491940,0.05338216,0.03870422,0.03077522,0.05384868,0.03776275,0.26274845,0.11382192,0.12829039,0.00683339,0.01562622,0.00946108
2026-06-14 04:15:00,0.01921222,0.00000000,0.33418110,0.00000000,0.00000000,0.25671312,0.21774417,46.10567093,0.13201161,0.25749508,0.21312508,31.03273964,0.12967128,0.00485218,0.05651068,0.04053273,0.02233682,0.05483929,0.03756937,0.26530448,0.12090239,0.12876737,0.00656780,0.01438712,0.00875063
2026-06-14 04:30:00,0.00407465,0.04266667,0.24560890,0.00000240,0.00000000,0.25823098,0.20203152,50.68099976,0.12773399,0.26622120,0.22474687,49.99663925,0.13165991,0.00469236,0.05098713,0.03692812,0.01636128,0.05558091,0.03914807,0.27102515,0.11825750,0.13400236,0.00629407,0.01372096,0.00836689
2026-06-14 04:45:00,0.03080542,0.01266385,0.44916061,0.00000031,0.00000000,0.26799238,0.18883605,40.32537842,0.12833220,0.27839252,0.23377834,34.70771027,0.13764296,0.00468646,0.04792444,0.03460386,0.01734630,0.05755051,0.04093342,0.26535583,0.11838841,0.13094629,0.00580393,0.01151804,0.00727212
2026-06-14 05:00:00,0.05189651,0.00000000,0.38261241,0.00000000,0.00000000,0.25201741,0.19921486,50.29885101,0.12416039,0.26360723,0.22357464,41.19467163,0.12885275,0.00478308,0.04585540,0.03392842,0.01618750,0.05574341,0.03933620,0.27069074,0.11348326,0.12926903,0.00641182,0.01466585,0.00882263
2026-06-14 05:15:00,0.02512421,0.05798711,0.32445070,0.00000640,0.00000000,0.25713131,0.20718721,57.87041092,0.12797995,0.26886401,0.20309384,37.66349030,0.12773931,0.00458852,0.05348409,0.03867243,0.01497067,0.04756253,0.03399680,0.27470407,0.13249695,0.14131637,0.00604259,0.01277369,0.00781429
2026-06-14 05:30:00,0.00656236,0.07753833,0.51399589,0.00000044,0.00000000,0.26067135,0.18603717,51.02581024,0.12542032,0.26288602,0.18524186,30.20694923,0.12679796,0.00460937,0.04845709,0.03398930,0.01585982,0.05071682,0.03519367,0.27630508,0.12088031,0.13372411,0.00604933,0.01300571,0.00800921
2026-06-14 05:45:00,0.02802231,0.09177778,0.35558721,0.00016972,0.00000000,0.26019251,0.22047120,37.61481857,0.12757489,0.27009812,0.21868534,24.08114052,0.13108738,0.00566886,0.05361409,0.03950926,0.02117711,0.05489866,0.03852106,0.27002817,0.11626235,0.13271661,0.00838184,0.01394606,0.00961543
2026-06-14 06:00:00,0.05300347,0.00777605,0.40780631,0.00000000,0.00000000,0.25081068,0.23179168,49.52565002,0.12536584,0.26595190,0.24120446,34.52215958,0.13415910,0.00480795,0.05292894,0.03916903,0.02856120,0.05368355,0.03832652,0.27010465,0.11967324,0.13008177,0.00623706,0.01257789,0.00789026
2026-06-14 06:15:00,0.01291237,0.16488890,0.61062962,0.00026800,0.00000000,0.25822195,0.20032886,40.89604950,0.12578474,0.27196643,0.21722986,36.91576004,0.12983893,0.00545108,0.04943699,0.03553417,0.02100742,0.05076137,0.03569180,0.28107312,0.12632389,0.13880385,0.00632675,0.01422833,0.00862862
2026-06-14 06:30:00,0.01181983,0.16151971,0.34424081,0.00079933,0.00000000,0.25885677,0.20496987,34.33868027,0.12782164,0.25892708,0.18581134,35.63331985,0.12625031,0.00556802,0.04994512,0.03650610,0.01569455,0.05404735,0.03674285,0.28128737,0.12279416,0.13486241,0.00626174,0.01304258,0.00804907
