Timestamp,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor)
2026-06-16 19:00:00,0.43445581,0.43599999,0.60600841,0.13193040,0.00000000,0.24583183,0.59781414,9.11918926,0.31455386,0.25718403,1.96519041,17.83620071,0.58341867,0.21336302,0.40847710,0.23880824,0.44950524,0.58938950,0.35368818,0.11850090,0.17470613,0.11434458,0.35591123,1.10352540,0.62404531
2026-06-16 19:15:00,0.36037919,0.42444441,0.51025742,0.08381095,0.00000000,0.25100559,0.61409605,9.76905441,0.32759982,0.22563094,1.62196088,17.94537926,0.48374373,0.21746768,0.41630289,0.24187416,0.37889940,0.53664380,0.31918651,0.11442065,0.17966013,0.11583230,0.32689968,1.00699615,0.57148963
2026-06-16 19:30:00,0.39057010,0.41546321,0.64783353,0.08758932,0.00000000,0.26080698,0.62836403,9.29437828,0.33046058,0.25617242,2.05697274,17.86120987,0.60072887,0.23187037,0.45053157,0.26497573,0.46778089,0.60594547,0.36356503,0.11676349,0.19436452,0.12297188,0.36311063,1.11960590,0.63515365
2026-06-16 19:45:00,0.30955681,0.39755559,0.63358259,0.04889881,0.00000000,0.29354846,0.71246737,8.82150745,0.37629393,0.22143978,1.45757926,16.54273033,0.41658881,0.26146185,0.52387035,0.30270639,0.37917617,0.74971378,0.42900178,0.12298957,0.20697367,0.12959856,0.42364472,1.31899512,0.74585730
2026-06-16 20:00:00,0.29109421,0.49066669,0.61438662,0.08095540,0.00000000,0.25535479,0.60878932,8.83012962,0.32179943,0.24693580,1.74496043,19.31720924,0.50672740,0.22570062,0.44560316,0.25984275,0.44199684,0.82550758,0.46990466,0.12600382,0.21841848,0.13940397,0.41959581,1.32212174,0.74292511
2026-06-16 20:15:00,0.38442141,0.50622219,0.61527240,0.10764010,0.00000000,0.28923842,0.71239954,9.11695957,0.37554243,0.21512005,1.49548542,16.77120972,0.44862518,0.25513610,0.50010765,0.28969896,0.36041072,0.55245453,0.32450783,0.11787395,0.19026293,0.12243068,0.37175331,1.14923787,0.65162241
2026-06-16 20:30:00,0.24279630,0.43923569,0.60273218,0.06880502,0.00000000,0.28710169,0.69355690,8.58675480,0.36646017,0.22121291,1.52685630,17.38814926,0.44262967,0.25524664,0.49921155,0.29253158,0.39365095,0.72980332,0.42207196,0.13110244,0.21722873,0.13767645,0.43481418,1.34060252,0.76145375
2026-06-16 20:45:00,0.22241241,0.44622219,0.50670427,0.04645168,0.00000000,0.28861567,0.70537883,8.35838318,0.37601635,0.20987393,1.34279788,18.14378929,0.38506484,0.25514492,0.49420920,0.28850016,0.36740613,0.74740815,0.42760503,0.12542723,0.21062855,0.13465422,0.40496385,1.23628139,0.70551854
2026-06-16 21:00:00,0.29337269,0.46644440,0.56709611,0.07789317,0.00000000,0.25414202,0.62400925,9.03454304,0.32738641,0.23261012,1.62987316,17.15232086,0.47291771,0.22129156,0.42767718,0.24938156,0.42700550,0.82073450,0.46917436,0.12095530,0.19757396,0.12798515,0.40662122,1.25761545,0.71312100
2026-06-16 21:15:00,0.23500261,0.50877577,0.57714272,0.08061294,0.00000000,0.25273296,0.58914369,8.72202396,0.31655097,0.22675823,1.58056712,17.58350945,0.46106347,0.21738128,0.41322833,0.24535491,0.40566990,0.74815774,0.42959306,0.12567934,0.21306904,0.13484313,0.35098439,1.07838547,0.61263180
2026-06-16 21:30:00,0.34249449,0.46888891,0.61836529,0.09544199,0.00000000,0.25017732,0.60173845,9.59356308,0.32199922,0.25501558,1.85970688,17.05797958,0.55598325,0.21341185,0.39815241,0.23621035,0.45664501,0.73652732,0.42979074,0.12441774,0.20745517,0.12991372,0.36666530,1.12796783,0.64092225
2026-06-16 21:45:00,0.31856051,0.48377779,0.67638648,0.08054604,0.00000000,0.28635511,0.70400226,9.14621067,0.37385249,0.24714601,1.75136471,17.03396988,0.50244796,0.25291315,0.48908719,0.28449824,0.44455275,0.83005965,0.47724199,0.13332114,0.23506586,0.14452350,0.43316922,1.34118700,0.76015925
2026-06-16 22:00:00,0.38209230,0.45478779,0.58504462,0.08805452,0.00000000,0.32664725,0.79921573,7.90984821,0.42392603,0.27610016,2.03687167,17.49316025,0.60061568,0.29435155,0.58517593,0.33980659,0.49885485,0.81574416,0.47629976,0.13826202,0.24414177,0.15149540,0.48791030,1.48391867,0.84874648
2026-06-16 22:15:00,0.32658961,0.38933331,0.60026318,0.07635076,0.00000000,0.30347791,0.72462642,8.19743156,0.38353831,0.21942149,1.43863118,17.68762016,0.41995579,0.27041838,0.52684647,0.31077868,0.38314193,0.74120504,0.42680880,0.12951073,0.20861037,0.13502093,0.42712918,1.30741549,0.74460554
